service;amelioration.sante;amelioration.moral;score.relation;score.information
3;1;0;36;22
3;2;3;33;36
3;2;1;40;37
3;2;0;32;35
3;2;1;31;30
3;3;1;36;29
3;3;2;37;25
3;2;3;40;35
3;3;0;28;34
4;3;3;35;36
4;3;1;38;38
4;3;3;38;37
4;3;1;37;31
4;3;1;39;28
4;1;1;40;40
4;3;3;37;39
4;2;1;34;32
4;2;0;24;22
4;3;3;38;36
4;2;2;35;29
4;3;1;40;40
4;2;1;35;40
4;2;1;40;33
4;3;2;38;31
4;1;2;36;38
4;2;1;30;30
4;3;1;39;35
4;3;3;40;40
4;3;3;40;40
4;3;3;38;34
1;3;3;40;22
1;3;3;39;38
1;1;0;26;31
1;2;0;32;26
1;2;0;30;16
1;2;2;35;33
1;2;2;35;35
1;2;1;27;23
1;2;0;30;33
1;1;1;31;28
1;2;1;40;35
1;2;1;38;35
1;1;0;23;25
1;2;1;34;26
1;3;3;33;25
1;2;3;40;40
1;2;1;40;26
1;3;2;34;30
1;2;1;29;28
1;1;1;34;28
1;2;1;34;24
1;2;1;33;32
1;2;0;21;15
1;2;2;36;31
1;1;2;38;37
1;1;1;33;26
1;3;3;40;40
3;2;2;33;23
3;1;2;36;24
3;1;3;39;38
3;1;2;39;35
3;2;2;39;40
3;3;3;28;30
3;2;0;27;20
3;3;3;39;21
3;1;1;30;37
3;3;3;35;29
3;3;1;37;35
3;2;2;38;23
3;2;2;30;33
3;2;3;40;38
3;3;3;36;39
3;2;0;31;31
3;2;2;31;38
3;2;1;30;29
5;3;3;39;35
5;3;1;40;38
5;3;3;40;28
5;3;2;39;38
5;3;3;38;39
5;2;1;38;37
5;1;1;33;29
5;2;2;28;30
5;2;1;33;38
5;2;1;40;29
5;3;3;28;16
5;3;1;38;28
5;2;3;37;29
5;2;1;28;30
5;3;2;38;37
5;2;2;36;40
5;3;3;34;34
5;1;1;40;39
5;2;3;40;37
5;1;0;31;15
5;1;1;40;40
5;1;1;37;32
5;2;2;35;37
5;3;2;33;35
5;3;3;35;39
5;1;1;38;40
5;3;3;38;40
5;2;1;35;29
5;1;1;30;30
5;2;2;29;34
7;2;2;32;13
7;3;3;35;40
7;2;2;25;18
6;2;1;37;36
6;1;1;34;15
6;2;1;32;28
6;2;2;39;40
5;0;3;21;35
6;2;2;28;21
5;3;2;34;33
6;3;1;40;40
6;3;1;32;33
6;3;3;34;28
6;2;3;29;24
6;0;0;13;21
6;2;3;38;34
6;1;1;35;31
6;1;1;34;30
6;2;1;35;31
6;3;1;40;40
6;2;3;34;33
6;2;3;36;33
7;3;3;40;40
7;3;3;38;38
7;3;1;31;25
7;3;2;35;22
7;3;3;40;39
7;1;1;38;37
7;3;1;33;25
7;2;1;37;32
7;1;2;35;34
7;2;3;40;40
7;1;2;36;29
7;2;1;32;19
7;2;3;36;34
7;2;1;33;32
7;3;3;39;40
7;1;1;34;34
7;3;1;36;40
7;3;3;40;40
2;1;1;30;25
2;2;1;24;24
2;1;1;38;27
2;1;1;38;29
2;2;1;37;31
2;2;1;40;35
2;3;2;26;28
2;2;1;31;28
2;2;2;32;32
2;1;1;34;23
2;2;1;25;28
2;1;1;26;32
2;2;1;40;39
2;2;2;30;28
2;3;3;38;40
2;2;2;38;39
2;2;1;27;33
2;2;2;33;29
2;2;3;36;34
6;3;3;36;30
6;3;3;32;35
6;2;1;29;35
6;3;2;21;36
6;3;1;40;17
6;3;2;37;39
6;3;3;35;39
6;2;1;33;34
6;3;1;40;40
6;3;2;28;30
6;1;1;39;40
6;3;3;36;17
6;3;1;39;33
6;3;3;38;24
6;3;3;38;35
8;2;1;36;38
8;3;3;40;40
8;3;3;39;26
8;1;1;40;36
8;1;1;35;20
8;1;1;39;30
8;2;1;38;28
8;2;1;40;27
8;1;1;33;29
8;3;0;26;27
8;1;1;40;37
8;2;1;29;17
8;3;1;37;30
8;2;1;26;23
8;2;1;25;20
8;3;3;40;40
8;2;1;29;31
8;3;1;36;38
8;2;3;33;27
8;3;2;38;35
8;0;1;40;30
8;3;3;38;36
8;3;3;39;37
8;2;1;39;20
8;3;1;40;40
8;3;1;36;38
8;2;2;33;33
8;3;3;40;32
8;2;2;39;25
8;3;1;37;35
8;3;1;40;31
8;3;3;38;35
8;1;2;30;34
